date,fips,PRECTOT,PS,T2M,WS50M_RANGE,slope3,SQ1,class
20000104,1001,15.95,100.29,11.4,5.58,0.39,2,1
20000111,1001,1.33,100.4,11.48,4.67,0.39,2,1
20000118,1001,1.11,100.39,14.28,2.55,0.39,2,1
20000125,1001,0.0,100.11,-0.78,4.07,0.39,2,1
20000201,1001,0.0,101.0,2.06,5.11,0.39,2,1
20000208,1001,0.0,101.04,8.88,4.63,0.39,2,1
20000215,1001,0.0,100.68,10.94,5.07,0.39,2,1
20000222,1001,0.36,101.34,10.02,4.46,0.39,2,1
20000229,1001,0.01,100.71,12.61,5.54,0.39,2,1
20000307,1001,0.0,100.79,16.81,5.07,0.39,2,1
20000314,1001,0.02,100.8,11.24,5.3,0.39,2,1
20000321,1001,0.17,100.66,12.81,4.0,0.39,2,1
20000328,1001,0.0,99.07,14.58,5.16,0.39,2,1
20000404,1001,1.26,100.32,10.67,5.37,0.39,2,1
20000411,1001,0.36,100.77,16.14,2.14,0.39,2,1
20000418,1001,0.0,100.1,14.82,2.26,0.39,2,1
20000425,1001,0.04,99.77,14.93,2.43,0.39,2,1
20000502,1001,0.31,100.28,21.87,5.04,0.39,2,1
20000509,1001,0.04,99.84,23.46,5.14,0.39,2,1
20000516,1001,0.0,100.29,22.57,5.43,0.39,2,1
20000523,1001,0.02,99.54,26.26,4.45,0.39,2,1
20000530,1001,0.02,100.15,23.22,2.97,0.39,2,1
20000606,1001,0.38,100.31,21.02,2.51,0.39,2,1
20000613,1001,0.84,100.29,28.34,2.78,0.39,2,1
20000620,1001,0.57,100.42,28.4,2.89,0.39,2,1
20000627,1001,2.19,100.24,27.65,3.51,0.39,2,1
20000704,1001,0.03,100.31,29.71,3.36,0.39,2,1
20000711,1001,0.3,99.99,31.1,3.32,0.39,2,1
20000718,1001,0.0,100.14,30.31,3.82,0.39,2,1
20000725,1001,1.84,99.99,27.66,4.09,0.39,2,1
20000801,1001,6.23,100.27,24.62,2.05,0.39,2,1
20000808,1001,0.23,100.4,28.78,2.42,0.39,2,1
20000815,1001,0.0,100.54,29.3,2.0,0.39,2,1
20000822,1001,0.06,100.77,27.08,3.07,0.39,2,1
20000829,1001,0.01,99.82,31.07,3.29,0.39,2,1
20000905,1001,3.53,99.76,27.42,3.41,0.39,2,1
20000912,1001,1.31,100.06,26.16,4.46,0.39,2,1
20000919,1001,0.01,100.1,23.18,5.99,0.39,2,1
20000926,1001,0.0,100.32,16.12,1.08,0.39,2,1
20001003,1001,0.0,100.2,22.64,5.72,0.39,2,1
20001010,1001,0.0,101.2,11.73,2.86,0.39,2,1
20001017,1001,0.0,100.31,20.78,4.32,0.39,2,1
20001024,1001,0.0,101.21,20.44,3.12,0.39,2,1
20001031,1001,0.0,100.52,23.14,2.86,0.39,2,1
20001107,1001,18.6,99.68,22.62,3.64,0.39,2,1
20001114,1001,0.01,100.52,6.16,2.15,0.39,2,1
20001121,1001,0.0,101.6,0.32,2.85,0.39,2,1
20001128,1001,0.01,100.67,9.34,3.94,0.39,2,1
20001205,1001,0.0,101.11,2.78,3.91,0.39,2,1
20001212,1001,0.67,101.07,3.21,3.94,0.39,2,1
20001219,1001,1.01,100.66,-3.25,4.06,0.39,2,1
20001226,1001,0.81,101.4,2.66,2.96,0.39,2,1
20010102,1001,0.0,101.89,-3.09,2.38,0.39,2,1
20010109,1001,0.0,101.04,-1.73,2.42,0.39,2,1
20010116,1001,8.36,100.72,6.13,2.46,0.39,2,1
20010123,1001,0.0,101.05,2.18,4.59,0.39,2,1
20010130,1001,0.17,99.55,11.15,4.13,0.39,2,1
20010206,1001,0.0,100.6,7.76,5.28,0.39,2,1
20010213,1001,1.73,101.02,11.95,2.73,0.39,2,1
20010220,1001,0.92,100.91,13.33,3.83,0.39,2,1
20010227,1001,12.49,100.47,14.85,3.91,0.39,2,1
20010306,1001,0.01,100.57,4.85,2.64,0.39,2,0
20010313,1001,1.3,99.84,14.63,1.92,0.39,2,0
20010320,1001,30.95,99.53,2.51,1.94,0.39,2,0
20010327,1001,0.01,100.92,6.05,3.76,0.39,2,0
20010403,1001,55.62,100.14,18.04,4.37,0.39,2,0
20010410,1001,0.0,100.02,23.55,4.74,0.39,2,0
20010417,1001,0.06,100.73,9.75,4.18,0.39,2,0
20010424,1001,7.72,100.54,17.2,2.26,0.39,2,0
20010501,1001,0.0,100.57,19.03,2.65,0.39,2,0
20010508,1001,2.93,100.89,19.23,4.31,0.39,2,0
20010515,1001,0.0,100.2,22.69,6.05,0.39,2,0
20010522,1001,6.5,99.84,18.36,2.82,0.39,2,0
20010529,1001,4.21,100.02,22.19,2.32,0.39,2,0
20010605,1001,4.27,100.31,24.47,2.55,0.39,2,0
20010612,1001,1.48,99.5,24.68,3.92,0.39,2,0
20010619,1001,2.25,100.65,24.34,2.79,0.39,2,0
20010626,1001,2.61,100.74,24.0,3.57,0.39,2,0
20010703,1001,7.52,100.64,25.96,1.54,0.39,2,0
20010710,1001,1.96,99.63,28.08,2.35,0.39,2,0
20010717,1001,0.0,100.38,25.98,2.48,0.39,2,0
20010724,1001,2.67,99.79,27.27,5.27,0.39,2,0
20010731,1001,3.36,100.41,27.84,2.01,0.39,2,0
20010807,1001,7.09,100.48,26.24,2.19,0.39,2,0
20010814,1001,0.97,99.89,26.06,4.98,0.39,2,0
20010821,1001,0.0,100.36,23.59,4.25,0.39,2,0
20010828,1001,1.26,100.12,26.08,1.99,0.39,2,0
20010904,1001,4.74,99.91,25.93,2.48,0.39,2,0
20010911,1001,3.09,100.28,25.07,3.22,0.39,2,0
20010918,1001,2.34,100.16,23.52,4.96,0.39,2,0
20010925,1001,0.0,100.32,14.15,2.79,0.39,2,0
20011002,1001,0.0,100.53,18.7,4.68,0.39,2,0
20011009,1001,0.0,101.2,16.58,1.29,0.39,2,0
20011016,1001,0.01,100.78,11.99,2.27,0.39,2,0
20011023,1001,0.0,99.64,20.46,4.15,0.39,2,0
20011030,1001,0.0,101.4,11.95,4.37,0.39,2,0
20011106,1001,0.0,100.75,13.9,4.77,0.39,2,1
20011113,1001,0.0,101.16,13.22,3.33,0.39,2,1
20011120,1001,1.85,100.42,10.45,1.98,0.39,2,1
20011127,1001,4.83,100.22,18.83,2.53,0.39,2,1
20011204,1001,0.12,101.08,12.1,4.04,0.39,2,1
20011211,1001,0.83,100.65,10.47,3.18,0.39,2,1
20011218,1001,0.0,99.99,10.63,2.77,0.39,2,1
20011225,1001,0.02,100.39,0.41,4.09,0.39,2,1
20020101,1001,0.19,100.81,-0.38,2.17,0.39,2,1
20020108,1001,0.0,100.93,0.47,4.94,0.39,2,1
20020115,1001,0.0,100.77,5.43,3.7,0.39,2,0
20020122,1001,8.44,100.82,9.27,3.71,0.39,2,0
20020129,1001,0.23,100.55,16.5,3.21,0.39,2,0
20020205,1001,7.49,101.3,2.06,3.64,0.39,2,0
20020212,1001,0.0,100.73,5.92,5.23,0.39,2,0
20020219,1001,1.52,100.64,9.75,4.3,0.39,2,1
20020226,1001,0.75,100.4,7.57,2.25,0.39,2,1
20020305,1001,0.0,101.58,4.5,4.3,0.39,2,1
20020312,1001,29.88,99.68,13.91,4.86,0.39,2,1
20020319,1001,2.48,100.19,19.19,4.25,0.39,2,1
20020326,1001,6.06,100.24,15.33,1.9,0.39,2,1
20020402,1001,0.0,99.96,17.34,4.04,0.39,2,1
20020409,1001,5.75,100.61,18.73,6.66,0.39,2,1
20020416,1001,0.0,100.6,22.32,2.71,0.39,2,0
20020423,1001,0.01,100.43,19.25,4.42,0.39,2,1
20020430,1001,14.44,99.77,22.49,5.14,0.39,2,1
20020507,1001,0.01,100.42,26.14,5.56,0.39,2,1
20020514,1001,0.0,100.47,16.51,3.05,0.39,2,1
20020521,1001,0.0,100.84,15.4,3.21,0.39,2,1
20020528,1001,2.58,100.02,24.78,2.97,0.39,2,1
20020604,1001,9.4,100.01,28.04,5.77,0.39,2,1
20020611,1001,0.0,100.08,26.59,3.74,0.39,2,1
20020618,1001,3.99,99.97,25.85,4.08,0.39,2,1
20020625,1001,5.22,100.4,25.44,3.87,0.39,2,1
20020702,1001,4.33,100.38,27.0,2.52,0.39,2,1
20020709,1001,0.21,100.46,28.61,3.44,0.39,2,1
20020716,1001,0.18,100.45,28.17,1.71,0.39,2,1
20020723,1001,1.78,100.33,27.82,2.34,0.39,2,1
20020730,1001,9.55,100.39,26.8,1.92,0.39,2,1
20020806,1001,0.4,99.86,29.67,3.37,0.39,2,1
20020813,1001,0.34,100.28,28.06,4.4,0.39,2,1
20020820,1001,4.74,100.14,27.79,2.23,0.39,2,1
20020827,1001,0.61,99.77,26.59,3.4,0.39,2,1
20020903,1001,0.0,100.18,27.94,2.21,0.39,2,1
20020910,1001,0.0,99.67,26.51,4.74,0.39,2,1
20020917,1001,1.71,100.05,26.77,3.33,0.39,2,1
20020924,1001,9.71,100.22,22.55,3.06,0.39,2,1
20021001,1001,0.0,100.42,24.84,2.75,0.39,2,0
20021008,1001,0.03,100.15,22.13,4.03,0.39,2,0
20021015,1001,16.13,99.49,15.62,1.65,0.39,2,0
20021022,1001,0.04,100.43,18.01,2.94,0.39,2,0
