date,fips,PRECTOT,PS,T2M,WS50M_RANGE,slope3,SQ1,class
20061031.0,1009.0,0.88,99.47,14.52,2.71,0.4062,1.0,0
20030107.0,1081.0,0.0,100.27,1.78,4.11,0.2937,1.0,0
20130507.0,1101.0,0.1,100.24,15.82,2.42,0.0757,0.0,0
20010410.0,1049.0,0.0,98.19,22.65,3.77,0.3013,1.0,1
20010925.0,1073.0,0.0,99.55,12.44,2.11,0.3945,1.0,0
20080916.0,1041.0,0.0,100.51,19.85,1.82,0.1571,2.0,0
20100302.0,1003.0,9.56,100.39,6.06,5.38,0.1005,2.0,0
20040727.0,1025.0,0.92,100.65,27.23,3.42,0.0191,2.0,0
20090324.0,1011.0,0.02,100.53,16.8,2.35,0.5407,1.0,1
20160419.0,1055.0,0.0,99.11,18.99,3.04,0.0205,2.0,0
20150630.0,1045.0,8.84,100.73,25.67,1.5,0.3585,2.0,0
20120911.0,1009.0,0.0,99.81,21.77,2.82,0.4062,1.0,0
20131105.0,1019.0,0.0,99.39,10.84,1.95,0.0675,2.0,1
20140211.0,1093.0,2.98,100.09,-0.33,1.81,0.1357,1.0,1
20080108.0,1049.0,2.53,98.64,14.88,4.82,0.3013,1.0,1
20090811.0,1055.0,9.09,98.65,26.96,2.13,0.0205,2.0,0
20120731.0,1055.0,16.86,98.27,27.32,4.5,0.0205,2.0,1
20131231.0,1063.0,0.0,102.02,2.45,1.4,0.6201,1.0,0
20030527.0,1007.0,0.04,100.29,18.78,3.57,0.5104,1.0,0
20160614.0,1063.0,8.92,100.46,26.58,2.62,0.6201,1.0,1
20160719.0,1091.0,0.87,101.33,29.65,2.8,0.248,1.0,1
20050322.0,1045.0,24.31,99.92,18.51,2.37,0.3585,2.0,1
20000208.0,1021.0,0.0,101.04,8.88,4.63,0.0566,2.0,1
20061003.0,1081.0,0.0,99.9,23.05,3.61,0.2937,1.0,1
20110208.0,1027.0,0.0,99.34,0.54,2.21,0.424,3.0,1
20111206.0,1055.0,24.73,98.62,10.53,3.71,0.0205,2.0,0
20101102.0,1007.0,6.48,100.3,16.07,1.33,0.5104,1.0,1
20030819.0,1029.0,1.41,98.66,27.42,4.36,0.3602,3.0,0
20121016.0,1111.0,0.13,98.3,15.22,3.35,0.1377,1.0,1
