date,PRECTOT,PS,T2M,T2MDEW,T2MWET,TS,QV2M
2000-01-01,2.88,100.66,10.36,5.26,5.3,10.29,6.52
2000-02-01,3.02,100.61,15.9,10.59,10.6,15.77,8.59
2000-03-01,4.47,100.2,16.69,11.64,11.65,16.61,9.14
2000-04-01,1.62,100.12,17.3,11.22,11.23,17.2,8.82
2000-05-01,1.85,100.19,21.61,13.49,13.5,21.61,10.53
2000-06-01,3.11,100.3,23.31,15.88,15.89,23.27,12.18
2000-07-01,2.43,100.13,24.86,15.0,15.0,25.01,11.42
2000-08-01,1.69,100.27,24.98,14.31,14.32,25.06,10.87
2000-09-01,2.52,100.18,21.26,12.88,12.9,21.33,10.31
2000-10-01,1.81,100.53,19.86,11.12,11.14,19.44,8.75
2000-11-01,3.35,100.47,11.56,6.83,6.85,11.38,6.88
2000-12-01,3.68,100.67,7.87,2.78,2.84,7.85,5.71
2001-01-01,3.98,100.55,10.03,6.83,6.84,9.96,7.03
2001-02-01,5.15,100.58,14.43,10.93,10.94,14.31,8.97
2001-03-01,9.24,100.22,12.58,8.76,8.77,12.46,7.87
2001-04-01,2.83,100.59,17.17,12.43,12.44,16.84,9.81
2001-05-01,3.56,100.11,20.08,15.51,15.51,19.87,11.74
2001-06-01,3.57,100.41,21.47,16.79,16.79,21.16,12.81
2001-07-01,2.76,100.24,23.13,17.54,17.55,23.1,13.35
2001-08-01,2.93,100.27,22.94,17.72,17.72,22.79,13.43
2001-09-01,2.1,100.28,18.9,13.46,13.46,18.89,10.43
2001-10-01,2.92,100.54,15.62,9.45,9.48,15.28,8.52
2001-11-01,3.74,100.39,15.59,10.74,10.76,15.39,9.01
2001-12-01,5.3,100.33,11.53,8.25,8.27,11.4,8.04
2002-01-01,3.99,100.45,13.11,9.48,9.49,12.99,8.34
2002-02-01,1.83,100.45,11.82,6.69,6.73,11.66,7.24
2002-03-01,3.13,100.3,15.91,11.84,11.85,15.86,9.7
2002-04-01,2.29,100.39,19.37,14.4,14.41,19.28,11.27
2002-05-01,3.56,100.35,19.06,12.16,12.17,19.06,9.8
2002-06-01,4.25,100.28,21.97,15.58,15.58,22.01,12.04
2002-07-01,2.44,100.33,23.69,17.94,17.94,23.7,13.98
2002-08-01,1.84,100.32,23.7,17.3,17.3,23.78,13.22
2002-09-01,6.13,100.09,22.28,18.16,18.16,22.33,13.67
2002-10-01,4.29,100.22,18.11,14.47,14.47,18.15,10.84
2002-11-01,2.99,100.45,12.64,8.25,8.26,12.34,7.56
2002-12-01,6.7,100.29,11.97,8.58,8.58,11.82,7.75
2003-01-01,3.53,100.69,8.34,4.53,4.6,8.21,6.44
2003-02-01,4.07,100.18,13.05,9.83,9.83,12.96,8.34
2003-03-01,3.67,99.96,15.9,12.37,12.37,15.75,9.71
2003-04-01,4.66,100.04,18.58,14.7,14.7,18.38,11.06
2003-05-01,6.94,100.0,20.15,16.97,16.97,20.1,12.8
2003-06-01,9.53,100.09,21.8,18.68,18.68,21.73,14.27
2003-07-01,5.08,100.24,22.71,18.86,18.86,22.58,14.62
2003-08-01,2.55,100.3,23.25,19.25,19.26,23.06,14.98
2003-09-01,1.74,100.17,19.83,15.84,15.84,19.7,11.9
2003-10-01,1.54,100.14,16.49,12.1,12.11,16.37,9.5
2003-11-01,4.85,100.37,13.21,8.76,8.79,12.89,8.26
2003-12-01,2.59,100.54,9.33,5.88,5.9,9.13,6.75
2004-01-01,2.36,100.32,10.63,6.67,6.69,10.49,7.19
2004-02-01,3.88,100.41,12.13,8.98,8.99,12.04,7.95
2004-03-01,1.51,100.59,15.98,11.58,11.59,15.92,9.22
2004-04-01,1.49,100.43,17.88,12.3,12.3,17.84,9.49
2004-05-01,3.37,100.27,22.41,17.14,17.14,22.46,12.71
2004-06-01,5.83,100.27,22.75,18.4,18.41,22.7,14.08
2004-07-01,3.04,100.05,23.44,17.45,17.46,23.53,13.46
2004-08-01,2.77,100.32,21.81,15.86,15.86,21.75,12.18
2004-09-01,6.12,100.16,20.15,15.29,15.29,20.15,11.43
2004-10-01,2.49,100.13,19.23,14.7,14.71,19.12,11.17
2004-11-01,5.89,100.46,14.67,10.98,10.99,14.53,9.05
2004-12-01,2.66,100.68,9.31,5.44,5.47,9.08,6.8
2005-01-01,4.62,100.59,9.62,6.05,6.09,9.52,7.03
2005-02-01,3.96,100.34,13.61,9.88,9.89,13.4,8.48
2005-03-01,5.32,100.0,15.11,11.52,11.52,14.97,9.13
2005-04-01,2.68,100.25,16.77,12.59,12.59,16.63,9.7
2005-05-01,4.1,100.04,20.33,16.24,16.24,20.26,12.03
2005-06-01,4.24,100.15,22.24,17.58,17.59,22.15,13.28
2005-07-01,4.26,100.19,23.89,19.89,19.89,23.71,15.3
2005-08-01,4.33,99.99,24.06,19.77,19.77,23.93,15.2
2005-09-01,3.51,100.15,22.21,17.26,17.26,22.22,13.09
2005-10-01,2.63,100.26,15.49,9.38,9.4,15.3,8.22
2005-11-01,4.71,100.24,13.2,8.1,8.13,13.11,7.99
2005-12-01,2.74,100.25,10.71,7.21,7.22,10.46,7.3
2006-01-01,4.52,100.39,13.39,9.33,9.34,13.29,8.17
2006-02-01,3.74,100.5,13.18,8.96,8.97,13.23,8.03
2006-03-01,2.5,100.42,14.44,9.15,9.16,14.32,7.92
2006-04-01,1.94,100.14,19.15,13.34,13.35,18.98,10.37
2006-05-01,0.52,100.09,20.63,14.21,14.21,20.45,10.93
2006-06-01,2.47,100.19,23.34,15.39,15.39,23.42,11.62
2006-07-01,3.29,100.19,24.34,16.74,16.75,24.51,12.98
2006-08-01,2.62,100.09,23.86,17.23,17.24,24.01,13.41
2006-09-01,2.98,100.13,19.83,13.69,13.7,19.72,10.57
2006-10-01,5.3,100.16,16.25,10.63,10.64,16.14,8.84
2006-11-01,5.36,100.32,13.59,9.62,9.63,13.47,8.24
2006-12-01,5.07,100.44,13.75,10.5,10.5,13.42,8.56
2007-01-01,3.74,100.51,11.28,6.83,6.85,11.27,7.12
2007-02-01,2.16,100.18,12.79,7.82,7.84,12.74,7.54
2007-03-01,0.77,100.56,17.55,12.4,12.41,17.41,9.66
2007-04-01,1.48,100.21,17.45,11.16,11.17,17.35,8.95
2007-05-01,0.9,100.4,21.21,11.45,11.46,21.2,9.08
2007-06-01,1.94,100.27,23.96,14.91,14.92,24.07,11.52
2007-07-01,2.61,100.17,23.68,16.77,16.79,23.87,12.94
2007-08-01,3.13,100.19,25.39,17.21,17.22,25.51,13.44
2007-09-01,2.26,100.33,21.73,14.63,14.64,21.73,11.21
2007-10-01,2.46,100.26,17.96,11.23,11.23,17.93,9.05
2007-11-01,2.2,100.49,14.71,8.86,8.88,14.65,7.98
2007-12-01,2.82,100.39,13.16,8.31,8.33,13.07,7.54
2008-01-01,3.57,100.59,8.71,4.33,4.36,8.49,6.16
2008-02-01,4.12,100.42,11.67,7.15,7.18,11.45,7.36
2008-03-01,2.44,100.4,15.38,10.97,10.99,15.34,9.01
2008-04-01,4.04,100.29,16.92,11.93,11.94,16.76,9.45
2008-05-01,2.81,100.05,20.8,15.8,15.8,20.66,12.02
2008-06-01,2.36,100.18,23.04,16.42,16.43,22.92,12.38
